,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,-11.346336,0.0,-13.071652,0.0,-3.513541,0.0,-14.301978,0.0,-0.86023134,0.0,38.764336,0.0,-9.154996,0.0,-23.76974,0.0,0.39259535,0.0,-30.452953,0.0,39.412186,0.0,-28.113981,0.0,-2.5611343,0.0,18.633587,0.0,5.0908957,0.0,-23.460838,0.0,-19.595985,0.0,31.7881,0.0
1,-2.2573407,0.0,-2.1049438,0.0,-1.1110147,0.0,-2.680517,0.0,-0.22074166,0.0,14.506781,0.0,-0.63120955,0.0,-4.636136,0.0,4.8928723,0.0,-8.236114,0.0,14.749226,0.0,-7.6677113,0.0,2.979597,0.0,6.973248,0.0,1.9972589,0.0,-5.254007,0.0,-4.2020245,0.0,11.896063,0.0
2,3.7922792,0.0,0.6620613,0.0,0.93725395,0.0,0.94024056,0.0,-0.013414094,0.0,3.5782032,0.0,1.1968505,0.0,1.5951594,0.0,0.77553165,0.0,-0.08788681,0.0,3.6380048,0.0,-0.5335044,0.0,-1.1555165,0.0,1.720002,0.0,0.35823005,0.0,0.7679269,0.0,-0.41821727,0.0,2.9342513,0.0
3,3.0129662,0.0,2.082043,0.0,-2.4724705,0.0,1.842268,0.0,0.053045902,0.0,-0.8326011,0.0,2.8351085,0.0,-1.6087977,0.0,1.5103952,0.0,2.032984,0.0,-0.84651464,0.0,2.565064,0.0,24.44042,0.0,-0.4002196,0.0,-0.35952976,0.0,2.681036,0.0,3.1718445,0.0,-0.6827607,0.0
4,-9.829535,0.0,3.1548777,0.0,0.20838885,0.0,2.984228,0.0,0.097659886,0.0,-2.7965095,0.0,0.30643028,0.0,-0.76883143,0.0,-1.0371306,0.0,3.6222281,0.0,-2.8432448,0.0,4.025712,0.0,7.6073084,0.0,-1.3442514,0.0,-1.0983728,0.0,4.222718,0.0,1.3747977,0.0,-2.2932336,0.0
5,-5.0014725,0.0,2.4726226,0.0,-1.4540695,0.0,2.1105452,0.0,0.08219693,0.0,-2.8488288,0.0,-0.16308135,0.0,1.1886951,0.0,0.22381859,0.0,5.057749,0.0,-2.8964386,0.0,4.289966,0.0,-13.163849,0.0,-1.3694006,0.0,-1.4130796,0.0,2.6849384,0.0,2.3392832,0.0,-2.3361373,0.0
6,-1.3885391,0.0,0.7014475,0.0,0.9649277,0.0,1.1092955,0.0,0.043405335,0.0,-2.1442168,0.0,-0.9025694,0.0,0.7662772,0.0,-0.90353036,0.0,3.0239697,0.0,-2.1800506,0.0,1.213222,0.0,-1.7388802,0.0,-1.0307015,0.0,-0.8178542,0.0,1.5891773,0.0,2.7647848,0.0,-1.7583311,0.0
7,-0.9614591,0.0,-0.8011948,0.0,0.9067553,0.0,0.43702975,0.0,0.012875708,0.0,-1.4240699,0.0,-1.4845235,0.0,0.7105549,0.0,-2.9798405,0.0,1.1535192,0.0,-1.4478683,0.0,1.8233464,0.0,1.6318439,0.0,-0.6845293,0.0,-0.5388024,0.0,0.6693998,0.0,2.2514138,0.0,-1.1677856,0.0
8,-0.82750934,0.0,0.4651678,0.0,0.15462045,0.0,0.008077462,0.0,-0.0058562304,0.0,-0.8556169,0.0,0.23515974,0.0,-0.025178317,0.0,-0.54666424,0.0,0.2308631,0.0,-0.8699151,0.0,-1.3853219,0.0,-1.249498,0.0,-0.41128585,0.0,-0.54216504,0.0,0.023078531,0.0,0.5168808,0.0,-0.7016345,0.0
9,-0.6229402,0.0,-0.22906104,0.0,-0.20020089,0.0,-0.350484,0.0,-0.020566942,0.0,-0.3744252,0.0,1.7680863,0.0,-0.54436773,0.0,-2.6738222,0.0,4.9041567,0.0,-0.38068154,0.0,-1.1976908,0.0,-0.29569817,0.0,-0.17997955,0.0,0.06796189,0.0,0.32376906,0.0,-1.1434367,0.0,-0.30704063,0.0
