,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,-11.346336,-13.071652,-3.513541,-14.301978,-0.86023134,38.764336,-9.154996,-23.76974,0.39259535,-30.452953,39.412186,-28.113981,-2.5611343,18.633587,5.0908957,-23.460838,-19.595985,31.7881,0.0
1,-2.2573407,-2.1049438,-1.1110147,-2.680517,-0.22074166,14.506781,-0.63120955,-4.636136,4.8928723,-8.236114,14.749226,-7.6677113,2.979597,6.973248,1.9972589,-5.254007,-4.2020245,11.896063,0.0
2,3.7922792,0.6620613,0.93725395,0.94024056,-0.013414094,3.5782032,1.1968505,1.5951594,0.77553165,-0.08788681,3.6380048,-0.5335044,-1.1555165,1.720002,0.35823005,0.7679269,-0.41821727,2.9342513,0.0
3,3.0129662,2.082043,-2.4724705,1.842268,0.053045902,-0.8326011,2.8351085,-1.6087977,1.5103952,2.032984,-0.84651464,2.565064,24.44042,-0.4002196,-0.35952976,2.681036,3.1718445,-0.6827607,0.0
4,-9.829535,3.1548777,0.20838885,2.984228,0.097659886,-2.7965095,0.30643028,-0.76883143,-1.0371306,3.6222281,-2.8432448,4.025712,7.6073084,-1.3442514,-1.0983728,4.222718,1.3747977,-2.2932336,0.0
5,-5.0014725,2.4726226,-1.4540695,2.1105452,0.08219693,-2.8488288,-0.16308135,1.1886951,0.22381859,5.057749,-2.8964386,4.289966,-13.163849,-1.3694006,-1.4130796,2.6849384,2.3392832,-2.3361373,0.0
6,-1.3885391,0.7014475,0.9649277,1.1092955,0.043405335,-2.1442168,-0.9025694,0.7662772,-0.90353036,3.0239697,-2.1800506,1.213222,-1.7388802,-1.0307015,-0.8178542,1.5891773,2.7647848,-1.7583311,0.0
7,-0.9614591,-0.8011948,0.9067553,0.43702975,0.012875708,-1.4240699,-1.4845235,0.7105549,-2.9798405,1.1535192,-1.4478683,1.8233464,1.6318439,-0.6845293,-0.5388024,0.6693998,2.2514138,-1.1677856,0.0
8,-0.82750934,0.4651678,0.15462045,0.008077462,-0.0058562304,-0.8556169,0.23515974,-0.025178317,-0.54666424,0.2308631,-0.8699151,-1.3853219,-1.249498,-0.41128585,-0.54216504,0.023078531,0.5168808,-0.7016345,0.0
9,-0.6229402,-0.22906104,-0.20020089,-0.350484,-0.020566942,-0.3744252,1.7680863,-0.54436773,-2.6738222,4.9041567,-0.38068154,-1.1976908,-0.29569817,-0.17997955,0.06796189,0.32376906,-1.1434367,-0.30704063,0.0
