,casnw.csv,dicp.csv,era.csv,erai.csv,gspcc.csv,hku.csv,hust.csv,iapcm.csv,nscccs.csv,nsccgz.csv,nsccjn.csv,nscctj.csv,nsccwx.csv,siat.csv,sjtu.csv,ssc.csv,ustc.csv,xjtu.csv,label_all
39,64.45,60.7,37.02,60.76,3.57,0.78,80.86,95.42,58.67,84.32,0.0,90.05,58.98,46.87,75.66,86.45,73.21,0.0,0.0
40,64.45,60.7,38.11,60.76,3.57,0.78,80.8,95.42,59.69,86.32,0.0,95.7,58.16,46.87,75.66,86.45,73.21,0.0,0.0
41,64.45,60.39,38.11,60.76,3.57,0.78,78.74,95.42,60.33,85.63,0.0,95.97,59.98,46.87,75.89,86.45,72.34,0.0,0.0
42,64.45,60.7,36.23,60.76,3.57,0.78,78.74,95.42,60.27,87.94,0.0,95.97,62.87,46.87,75.89,86.45,73.21,0.0,0.0
43,62.89,60.2,36.38,60.76,3.57,0.78,78.74,95.42,60.27,89.12,0.0,95.7,56.27,46.87,75.87,86.45,72.51,0.0,0.0
44,61.33,60.7,38.02,60.76,3.57,0.78,79.56,95.42,59.44,88.69,0.0,95.43,60.18,46.87,75.87,86.45,71.82,0.0,0.0
45,59.77,60.7,38.21,60.76,3.57,0.78,79.49,95.42,59.44,89.77,0.0,95.7,54.82,46.87,75.87,86.45,71.82,0.0,0.0
46,60.55,3.15,38.0,3.57,0.78,77.41,95.42,59.24,89.27,0.0,95.97,54.81,46.87,75.41,86.61,71.99,0.0,58.2,10.0
47,58.2,61.2,37.96,60.76,3.57,0.78,76.37,95.42,61.17,89.81,0.0,95.97,59.99,46.87,75.87,86.36,71.99,0.0,0.0
48,58.2,60.7,38.31,60.76,3.57,0.78,75.33,95.42,61.04,89.32,0.0,95.7,57.42,46.87,76.09,86.6,72.51,0.0,0.0
49,58.2,60.2,36.78,60.76,3.57,0.78,73.24,96.0,61.04,88.66,0.0,95.7,57.43,46.87,75.86,86.4,71.99,0.0,0.0
50,58.2,60.55,36.78,60.76,3.57,0.78,73.24,96.0,61.04,92.66,0.0,94.62,57.42,46.87,75.63,86.64,71.47,0.0,0.0
51,58.2,60.7,36.78,60.76,3.57,0.78,72.2,96.0,60.97,92.72,0.0,94.62,57.42,46.87,76.3,86.64,71.47,0.0,0.0
52,58.2,60.2,36.78,60.76,3.57,0.78,70.12,96.0,60.97,91.68,0.0,91.94,57.42,46.87,75.37,86.65,71.47,0.0,0.0
53,58.2,61.2,36.78,60.76,3.57,0.78,70.12,96.0,62.13,90.09,0.0,91.13,57.42,46.87,75.36,93.98,71.47,0.0,0.0
54,58.2,60.2,36.78,60.76,3.57,0.78,70.12,96.0,62.13,94.19,0.0,88.98,57.42,46.87,75.36,94.22,71.47,0.0,0.0
55,58.2,56.12,36.78,60.76,3.57,0.78,70.12,96.0,62.13,91.51,0.0,90.59,57.46,46.87,75.8,93.98,71.47,0.0,0.0
56,58.2,56.38,37.46,60.76,3.57,0.78,70.12,94.84,62.06,89.59,0.0,92.2,57.11,46.87,75.8,94.21,71.3,0.0,0.0
57,58.2,56.12,37.05,60.76,3.57,0.78,70.12,94.84,62.06,89.64,0.0,95.7,57.11,46.87,75.8,92.51,71.13,0.0,0.0
58,58.2,53.06,36.48,60.76,3.57,0.78,70.12,94.84,61.81,87.84,0.0,92.74,57.82,46.87,75.8,92.12,71.13,0.0,0.0
59,58.2,53.48,35.95,60.76,3.57,0.78,69.08,95.32,61.62,86.9,0.0,92.74,57.82,46.87,75.8,91.83,71.22,0.0,0.0
60,58.2,53.06,35.84,60.76,3.57,0.78,69.08,95.32,62.0,84.19,0.0,92.74,57.82,46.87,75.33,91.54,70.87,0.0,0.0
61,58.2,53.91,34.99,60.76,3.57,0.78,69.08,95.32,62.0,83.86,0.0,91.67,57.82,46.87,75.79,92.25,70.87,0.0,0.0
62,58.2,53.06,34.89,60.76,3.57,0.78,69.08,95.32,61.87,85.73,0.0,91.67,57.82,46.87,75.33,91.29,70.35,0.0,0.0
63,58.2,53.09,34.89,60.76,3.57,0.78,69.08,95.32,61.87,85.95,0.0,88.98,57.82,46.87,75.79,91.05,70.35,0.0,0.0
64,58.2,53.06,34.89,60.76,3.57,0.78,69.08,95.32,61.87,83.32,0.0,89.78,57.82,46.87,75.56,90.81,70.35,0.0,0.0
65,58.2,53.78,34.89,60.76,3.57,0.78,69.08,95.32,61.68,85.35,0.0,89.78,57.81,46.87,75.1,90.73,70.35,0.0,0.0
66,58.2,53.48,34.93,60.76,3.57,0.78,69.08,95.32,61.55,84.93,0.0,89.25,57.81,46.87,75.56,90.48,70.35,0.0,0.0
67,58.2,53.35,34.93,60.76,3.57,0.78,69.08,95.32,61.55,85.82,0.0,88.44,57.8,46.87,75.56,91.78,70.35,0.0,0.0
68,58.2,53.48,34.85,60.76,3.57,0.78,69.08,95.32,61.55,84.78,0.0,89.52,57.8,46.87,75.56,91.54,70.35,0.0,0.0
69,58.2,53.48,34.85,60.76,3.57,0.78,69.08,95.32,61.3,83.12,0.0,89.52,57.79,46.87,75.56,91.0,70.35,0.0,0.0
70,58.2,53.06,34.82,60.76,3.57,0.78,68.03,95.32,61.3,84.34,0.0,89.52,57.78,46.87,75.1,92.26,70.35,0.0,0.0
71,58.2,53.09,34.82,60.76,3.57,0.78,68.03,95.32,61.42,83.19,0.0,88.44,57.8,46.87,75.1,91.8,70.35,0.0,0.0
72,58.2,53.91,34.82,60.76,3.57,0.78,68.03,95.32,61.17,86.04,0.0,86.83,57.8,46.87,75.1,91.64,70.35,0.0,0.0
73,58.2,53.48,34.82,60.76,3.57,0.78,68.03,95.3,61.17,84.4,0.0,85.22,57.8,46.87,75.1,91.06,70.35,0.0,0.0
74,58.2,53.06,34.82,60.76,3.57,0.78,68.03,95.3,60.97,84.23,0.0,84.68,57.8,46.87,75.1,90.7,70.35,0.0,0.0
75,58.2,53.35,34.72,60.76,3.57,0.78,64.91,95.3,60.46,85.66,0.0,84.68,57.8,46.87,74.87,88.08,70.35,0.0,0.0
76,58.2,53.48,33.66,60.76,3.57,0.78,63.87,95.3,60.4,88.68,0.0,83.33,57.8,46.87,74.86,87.79,70.35,0.0,0.0
77,58.2,53.06,33.45,60.76,3.57,0.78,63.87,94.14,58.73,87.03,0.0,84.68,57.8,46.87,74.86,88.36,70.06,0.0,0.0
78,58.2,53.06,33.45,60.76,3.57,0.78,63.87,94.14,58.86,90.0,0.0,83.6,56.1,46.87,74.86,88.69,69.8,0.0,0.0
79,58.2,53.06,33.21,60.76,3.57,0.78,63.87,94.14,58.6,91.7,0.0,83.6,59.89,46.87,74.86,90.01,69.8,0.0,0.0
80,58.2,53.48,32.89,60.76,3.57,0.78,62.83,94.14,58.41,91.59,0.0,81.45,59.89,46.87,74.86,88.81,69.8,0.0,0.0
81,58.2,53.48,32.89,60.76,3.57,0.78,61.78,94.14,58.41,87.47,0.0,81.45,59.89,46.87,74.86,86.15,69.8,0.0,0.0
82,56.64,53.06,32.89,60.76,3.57,0.78,61.78,94.14,58.41,85.6,0.0,81.45,59.89,46.87,74.86,85.15,69.8,0.0,0.0
83,56.64,53.06,32.89,60.76,3.57,0.78,61.78,94.11,58.28,83.73,0.0,82.8,59.89,46.87,74.86,86.45,69.8,0.0,0.0
84,56.64,53.06,32.37,58.43,3.57,0.78,61.78,94.11,58.28,83.63,0.0,82.8,59.88,46.87,74.4,86.15,69.8,0.0,0.0
85,56.64,53.48,32.37,58.43,3.57,0.78,61.78,94.48,60.14,83.46,0.0,80.65,59.88,46.87,74.4,85.79,69.46,0.0,0.0
86,56.64,53.48,32.4,56.1,3.57,0.78,61.78,94.48,59.88,79.76,0.0,78.23,59.88,46.87,74.4,85.66,69.46,0.0,0.0
87,56.64,48.98,32.4,56.1,3.57,0.78,61.78,94.48,59.95,81.46,0.0,77.15,59.88,46.87,74.4,82.12,69.28,0.0,0.0
88,56.64,48.98,32.31,53.78,3.57,0.78,61.78,94.48,59.95,82.16,0.0,80.11,51.28,46.87,75.2,82.36,69.46,0.0,0.0
89,56.64,48.98,32.78,53.78,3.57,0.78,61.78,94.48,59.95,84.68,0.0,80.38,52.38,46.87,74.73,84.79,69.46,0.0,0.0
90,75.0,48.98,32.74,53.78,3.57,0.78,61.78,94.48,60.08,84.14,0.0,80.38,62.5,46.87,74.73,85.66,69.46,0.0,0.0
91,75.0,48.97,32.74,49.13,3.57,0.78,61.78,94.48,60.08,84.03,0.0,80.11,62.51,46.87,74.37,90.36,69.8,0.0,0.0
92,75.0,48.84,32.63,44.48,3.57,0.78,61.78,94.48,60.08,86.23,0.0,79.84,62.51,46.87,73.68,89.26,69.28,0.0,0.0
93,75.0,48.98,32.71,32.85,3.57,0.78,61.78,94.48,57.38,86.56,0.0,78.49,62.51,46.87,74.14,83.63,69.28,0.0,0.0
94,75.0,48.98,32.71,28.2,3.57,0.78,60.74,94.48,59.56,85.18,0.0,79.57,64.94,46.87,74.13,81.05,69.28,0.0,0.0
95,75.0,48.98,33.75,21.22,3.57,0.78,60.74,94.48,59.76,84.85,0.0,80.11,64.94,46.87,74.13,80.9,69.28,0.0,0.0
96,75.0,48.98,33.75,18.9,3.57,0.78,60.74,94.48,59.69,85.67,0.0,80.11,64.95,46.87,75.04,86.38,69.8,0.0,0.0
97,75.0,49.36,33.75,16.57,3.57,0.78,60.74,94.48,60.27,82.58,0.0,81.18,64.95,46.87,74.81,87.08,69.8,0.0,0.0
98,75.0,48.97,33.92,16.57,3.57,0.78,61.78,94.48,57.83,82.85,0.0,80.91,65.01,46.87,75.04,87.96,69.8,0.0,0.0
99,75.0,53.06,33.88,16.57,3.57,0.78,61.78,94.48,59.76,99.5,0.0,81.45,64.49,46.87,74.81,86.96,69.62,0.0,0.0
100,75.0,53.06,33.99,16.57,3.57,0.78,61.72,94.48,59.95,95.29,0.0,81.45,65.98,46.87,74.64,87.91,70.67,0.0,0.0
101,76.56,53.06,34.2,16.57,3.57,0.78,61.72,94.48,59.82,84.65,0.0,86.02,65.63,46.87,74.87,89.13,71.19,0.0,0.0
102,76.56,52.04,36.01,16.67,3.57,0.78,61.72,94.48,60.33,85.04,0.0,86.02,66.21,46.87,78.07,89.84,72.31,0.0,0.0
103,76.56,53.06,35.79,16.76,3.57,0.78,61.72,94.48,59.82,85.04,0.0,89.25,65.38,46.87,78.07,89.36,72.31,0.0,0.0
104,76.56,55.34,34.77,16.76,3.57,0.78,61.72,94.48,63.8,85.26,0.0,92.74,65.59,46.87,76.93,89.36,73.0,0.0,0.0
105,76.56,58.89,33.91,16.76,3.57,0.78,61.72,93.9,64.57,89.25,0.0,87.37,66.43,46.87,76.24,89.48,73.35,0.0,0.0
106,76.56,54.08,35.42,16.76,3.57,0.78,61.72,93.9,65.33,96.23,0.0,88.44,66.35,46.87,76.24,89.95,73.7,0.0,0.0
107,76.56,54.12,35.67,16.76,3.57,0.78,61.72,92.15,65.01,94.62,0.0,88.44,55.07,46.87,76.0,91.17,73.55,0.0,0.0
108,76.56,54.38,34.45,16.76,3.57,0.78,65.89,92.15,64.48,94.84,0.0,95.16,62.82,46.87,78.74,92.96,73.55,0.0,0.0
109,76.56,54.08,35.32,16.76,3.57,0.78,71.09,89.24,64.48,93.96,0.0,93.01,62.21,46.87,78.68,93.83,73.55,0.0,0.0
110,76.56,54.08,34.74,16.76,3.57,0.78,72.14,89.24,64.09,93.51,0.0,94.62,60.77,46.87,79.88,93.3,73.85,0.0,0.0
111,76.56,54.51,34.71,16.57,3.57,0.78,72.14,89.24,63.92,88.75,0.0,93.55,62.09,46.87,80.32,93.31,74.89,0.0,0.0
112,76.56,54.51,34.81,16.47,3.57,0.78,73.18,89.24,62.0,90.18,0.0,94.62,62.08,46.87,80.32,92.98,74.89,0.0,0.0
113,76.17,54.08,35.99,16.47,3.57,0.78,72.14,89.24,63.15,89.63,0.0,95.7,62.53,46.87,80.32,91.29,74.89,0.0,0.0
114,75.78,54.38,35.98,16.47,3.57,0.78,72.14,89.24,63.22,90.18,0.0,95.7,61.21,46.87,80.32,90.87,74.89,0.0,0.0
115,76.17,54.38,34.77,16.47,3.57,0.78,72.14,83.43,63.03,89.79,0.0,95.7,60.81,46.87,80.78,90.86,75.24,0.0,0.0
116,74.81,54.56,34.77,16.47,3.57,0.78,73.18,83.43,61.94,93.4,0.0,95.7,60.1,46.87,81.7,91.02,74.37,0.0,0.0
117,73.25,54.08,34.77,16.47,3.57,0.78,73.18,82.85,61.87,94.12,0.0,95.7,60.62,46.87,81.7,91.14,75.58,0.0,0.0
118,69.92,54.51,34.29,16.47,3.57,0.78,73.18,82.85,61.87,95.34,0.0,94.09,60.61,46.87,81.46,91.26,75.67,0.0,0.0
119,54.38,12.96,34.23,16.67,3.57,0.78,73.18,88.66,62.71,99.39,0.0,94.09,46.87,82.37,91.33,75.58,0.0,69.92,3.0
120,83.98,54.08,34.52,16.67,3.57,0.78,72.14,89.24,62.0,100.0,0.0,94.62,59.2,46.87,82.37,91.58,75.06,0.0,0.0
121,83.98,54.51,34.52,16.67,3.57,0.78,72.14,91.57,62.32,96.48,0.0,95.7,59.21,46.87,82.37,91.42,75.24,0.0,0.0
122,83.98,54.51,34.1,16.67,3.57,0.78,72.14,92.15,63.48,92.5,0.0,95.43,61.39,46.87,81.92,90.53,74.2,0.0,0.0
123,82.81,54.51,34.1,16.67,3.57,0.78,76.3,92.15,63.28,89.22,0.0,94.89,66.01,46.87,81.23,89.69,74.37,0.0,0.0
124,73.44,54.51,34.0,16.67,3.57,0.78,76.3,92.15,62.26,91.28,0.0,94.89,66.02,46.87,81.23,90.92,75.58,0.0,0.0
125,68.75,54.08,33.94,16.67,3.57,0.78,80.47,92.15,63.48,90.46,0.0,95.43,65.32,46.87,81.23,91.11,74.68,0.0,0.0
126,68.75,54.17,34.52,16.76,3.57,0.78,80.47,92.15,62.26,94.03,0.0,95.43,65.44,46.87,81.25,91.3,74.38,0.0,0.0
127,68.75,54.51,33.45,16.76,3.57,0.78,80.47,92.15,62.77,99.24,0.0,95.97,67.65,46.87,81.23,91.24,72.04,0.0,0.0
128,68.75,54.08,31.54,16.67,3.57,0.78,80.47,92.15,62.51,94.72,0.0,96.51,68.03,46.87,81.23,88.15,71.58,0.0,0.0
129,68.75,54.08,32.32,16.67,3.57,0.78,80.47,92.15,62.0,93.13,0.0,95.7,59.03,46.87,81.23,88.3,70.97,0.0,0.0
130,68.75,54.51,31.73,16.67,3.57,0.78,80.47,95.06,62.96,96.89,0.0,93.01,66.55,46.87,81.23,88.68,71.14,0.0,0.0
131,73.44,54.51,32.4,16.67,3.57,0.78,80.47,95.74,62.51,98.59,0.0,95.7,68.37,46.87,81.23,87.51,73.57,0.0,0.0
132,67.58,54.08,33.29,16.67,3.57,0.78,80.47,94.96,64.31,99.18,0.0,95.16,67.93,46.87,82.37,87.35,73.4,0.0,0.0
133,68.75,54.64,33.41,16.67,3.57,0.78,88.8,94.86,64.67,99.41,0.0,95.7,56.8,46.87,82.37,88.19,73.05,0.0,0.0
134,69.14,54.82,34.36,16.67,3.57,0.78,92.97,94.77,61.66,91.0,0.0,95.7,60.16,46.87,82.36,86.41,72.53,0.0,0.0
135,76.17,54.08,34.93,16.67,3.57,0.78,92.97,94.72,60.83,85.24,0.0,95.7,60.11,46.87,82.09,87.03,73.55,0.0,0.0
136,54.08,8.24,35.31,16.67,3.57,0.78,92.97,94.6,60.7,86.77,0.0,95.7,46.87,82.3,86.13,72.86,0.0,76.17,3.0
137,75.0,54.08,41.51,18.99,3.57,0.78,92.97,94.57,60.58,92.29,0.0,95.7,61.37,46.87,82.3,85.44,73.55,0.0,0.0
138,75.0,54.08,37.0,18.99,3.57,0.78,92.97,94.57,61.86,85.33,0.0,95.7,58.66,46.87,82.3,86.75,72.86,0.0,0.0
139,75.0,52.45,65.24,18.99,3.57,0.78,92.97,94.55,61.6,98.01,0.0,95.7,60.8,46.87,82.52,86.99,74.07,0.0,0.0
140,52.45,7.41,66.15,18.99,3.57,0.78,92.97,95.71,60.06,99.01,0.0,95.7,63.34,46.87,82.99,86.98,74.07,0.0,1.0
141,75.0,52.04,59.65,18.99,3.57,0.78,92.97,95.71,62.11,98.77,0.0,95.97,56.44,46.87,82.99,86.94,73.38,0.0,0.0
142,52.04,6.94,55.1,65.7,3.57,0.78,92.97,96.32,62.69,88.95,0.0,95.7,52.99,46.87,82.99,86.7,73.55,0.0,1.0
